,text,sentiment
800000,VE best guy,1
800001,one IRL wait meeting Cant besides tonight TALK,1
800002,got Punish area IN Twitter Thanks meet sweetheart show add,1
800003,Being make friend really cheap sick real food much Plus soup hurt eat,1
800004,everyone effect,1
800005,making laughing really tell loud come sunk Thanks You burst,1
800006,find Had answer already Than response,1
800007,YOUR like time VE jealous As hope vega great SHOW,1
800008,contrast joining finally twitter fletcher,1
800009,Stupid RESPONDED error type Forgive cat helping,1
800010,crazy hour day watch school hill straight happy birthday told,1
800011,OW BOT FORGET VE AND THAT WO EN ID HAL SHOW,1
800012,get Haha You hang dont worry,1
800013,cause one may night addiction This many later usual wont least already lost feeling,1
800014,first miss permission Better video get link Make sure dont ltLOLgtSo blessing post,1
800015,added tweet Just iPhone new,1
800016,really sana know din ako gambling para Globe alam kung makakasama think dont yeah,1
800017,sweet picture,1
800018,Emails SS cutting Catching Then Random CAN tonight Dinner early,1
800019,Dancing Well room Getting ipod around diary twitter Pos jamming asked,1
800020,anyways place Keeps thanks Didn voting contest,1
800021,Going bed sweet goodnight everyone dream,1
800022,put deposit tomorrow walking,1
800023,following shut tha,1
800024,Are back meant cubic quottwittering somewherequot toilet add,1
800025,Well holding puppy mine Yes cute new,1
800026,sleeping prof kitten coach like,1
800027,agreed,1
800028,find watch border reaching bus amritsar hour,1
800029,first interview let famous star You thinking youre tonight super,1
800030,happy family time spend,1
800031,gon na finally going watch The bed tired didnt Hills Was,1
800032,got crazy ending craving tired coladabanana sushi ooooohh throat pink hurting,1
800033,dong upload banggggg indowebster,1
800034,glad youre welcome enjoyed,1
800035,both hook laugh hAhAHA da roLLLryt wer cup OW sheLdawg om,1
800036,nurse AG feel pray found better Ill,1
800037,middle YA buddy new found,1
800038,met first bad go Life twitter think quotsnobquot tonight Too,1
800039,Across Sleep Universe Rehearsal tomorrow,1
800040,potato sweet dry huh,1
800041,can not Great bus Hope well cruise wait hear loved You See Jon Knight,1
800042,phone conversation long mom,1
800043,say lol her requested yyyy,1
800044,crazy shoot Brock feature linesmannerismsvoices Practicing upcoming driving Probably,1
800045,Going moon time read twilight series cant get new enough,1
800046,month anniversary even dont know THE sooooooo OT AR today much Diana ON love HEL omg two NCAA,1
800047,bored,1
800048,Red wallpaper Square asking,1
800049,find Had Thanks answer already response,1
800050,Well yeah noticed cup,1
800051,inspired Just try thats get,1
800052,Night workout much better get Cant early enough,1
800053,see bob anand foot purple went color well wait royal love hot Cant way Austin as,1
800054,met One got Buffy song quotVivianquot bunch face Header Spike Buffy Ner Faith body,1
800055,Check Divinity Wallpaper,1
800056,Morning day long Hope Wetland everyone great ahead,1
800057,picture friendster uploading,1
800058,pic day Thanks love dont,1
800059,noodlebox tonight amanda,1
800060,like thing Jonas Kevin Sorry Girlfriend different,1
800061,serious like here color lsd maybe singing who,1
800062,loving life,1
800063,pizza damn best say Civilians planet love,1
800064,EA love chocolate milk,1
800065,Going tour Butter old Creek tomorrow Mine,1
800066,strawberry like become coach going cho personally soon Ill look,1
800067,guess earth east mesa live losiento side,1
800068,sore tryout apart,1
800069,EST day holiday failed keen homo physic,1
800070,improving great Just observed seems website update look Alexa look,1
800071,right totally tell seeking,1
800072,wish want Kids Honour SpacecowboyI either wherever work whenever,1
800073,goodnight,1
800074,sick lol weird Quite brother,1
800075,hug cookie feel Hope give better,1
800076,Hey rundown want real Its dont get care hope yourself take Hugo Jon,1
800077,wall wrote wash And Just correct highlighter spelling poor HARDCORE toilet,1
800078,clubZone good dinner tech meeting sushi,1
800079,suggesting Thanks hook rock bro,1
800080,like know one version depends doesnt thought,1
800081,like hurt weak still hand cant yet much anyone punch knob doesnt turn pretty,1
800082,Lurker interesting,1
800083,North moovaroLage aar need vote Still mine decide hithavaru image,1
800084,paid real shit get quality extra Korean seed bought baby highest tag ACH,1
800085,topping eating chocolate icecream,1
800086,finished LES step church Daddy telling,1
800087,talk know long what dating didnt possible guy,1
800088,Mostly Francisco Jose San West,1
800089,injury Good Nikki knee recover working bike trying as,1
800090,come need know pack Sat help Let afternoon love would,1
800091,team awesome shenagians,1
800092,till debut chillingIll regret music gon na getting back kick probably listening work,1
800093,amp study Grow timeless law Wow step Rich attraction Think amazing program,1
800094,glad really crazy week good Ive though better youre way feeling Till,1
800095,home till summer day Days come chris,1
800096,ish around Yeah day,1
800097,first drinking tell OL one tweet,1
800098,Kay thanks,1
800099,Goodnight,1
800100,year game sport really going back Ive Anyone interested watched get determined baseball since,1
800101,Good good Becca sleep,1
800102,home lexington rite hhh now next,1
800103,movie amp quotObsessedquot crazy seen Just Wow one seems broad preview Beyonce nut,1
800104,asleep till Easy Rider fall,1
800105,ParisRoubaix excited broadcast live,1
800106,real good moment much miss,1
800107,home survive know gym people without winter dont jungle two,1
800108,Just one holidayholiday started last work But,1
800109,Watching Greek Knight Knight,1
800110,profile room design working client love medium,1
800111,yay as sexy get lamehahaha stalk pretty,1
800112,Www thanks,1
800113,site city day good school yet Another nervous excitedtil First kinda everyone tomorrow Ah,1
800114,planning thinking,1
800115,check time here Good store sleep happier whatever tomorrow Hoping enough,1
800116,LD thing mean,1
800117,morning listening,1
800118,thank,1
800119,glad make Pam short need day Thanks life better enjoyed every struggle choice Yes,1
800120,lot say Thats late haha tonight course reading hmm great,1
800121,contrast Wow follower almost time,1
800122,ME GNG NY GETTING really screaming Just THIS Thanks wondering RE UPDATE AROUND,1
800123,breaking haha twitter cool love thats,1
800124,try care maybe there much wrong nothing caring,1
800125,even Lauren Orissa know twitter,1
800126,love story great thought,1
800127,youre mirror thats looking,1
800128,done couldnt without thanks,1
800129,general God spiritual public moment Twitter thanks OVERITNOWlt sharing wow neat apologize,1
800130,Ontario leave day,1
800131,see mood Japan Just spoke Love nephew fam via growing Style little,1
800132,loser got tell fly haha you suck ah spoken written someone saw,1
800133,laundry holy woman,1
800134,trainer hate got back,1
800135,lol fucking funny youï½re,1
800136,setting officially ipod mine today touch working,1
800137,tv yesterday saw worked,1
800138,could totally say Manner Eddie shut face fat would Jon,1
800139,Well ever Havana nominating come good one idea run,1
800140,never like night Thats good Monday always Always beer feel friend But,1
800141,usually One follows,1
800142,Thanks Special,1
800143,Lauren Good luck something cant leak wait rest cast BS,1
800144,For Moon The among Even Shoot land star miss you,1
800145,amp vibrant night need reasonbut sleep entirely dont hmm agree creative,1
800146,holly mixtape coming how try nada,1
800147,make across easier much get yep point,1
800148,could scholarly The set hurt another attention suppose freezerworthy already given eye,1
800149,cupcake,1
800150,English explosive And favor entire shit language using use think wonderful thing,1
800151,saying haha try maybe,1
800152,walk raining outside sunny back day school long day flipping today next ago showing cold,1
800153,cookie tub spirit bed dough kindred raw ate must,1
800154,movie like dirty night internet random night agreed song watched dancing great thought,1
800155,time Just twitter use update facebook Tweetdeck,1
800156,Surprised see meeting always Dude star awesome,1
800157,ill gon na night bed try figure,1
800158,night theatre lama malcolm amazing meganltfuck,1
800159,Just martini,1
800160,home morning day school city happy soo,1
800161,watching week day break spring movie everyday,1
800162,ice quotGrandpa chest want beefquot rule Lopez George,1
800163,thank speak home night Katie club easy well heading take stellar,1
800164,amp Mary flower Peter Paul gone far def Where,1
800165,Hills watch shhhhhhhhhhtime,1
800166,went china hit view photo way website kid posting love new alone count way since,1
800167,real back put appreciate came excited guy Jon,1
800168,home much Thank broadband kidding Provided everywhere pretty,1
800169,Calling night best good workout sleep always,1
800170,good doesnt Feels pretty,1
800171,bash anyway hash,1
800172,OT fringe bass correction,1
